ID,Text,label
1,I love this product!,positive
2,The food was absolutely amazing.,positive
3,I’m so happy with my experience.,positive
4,Great customer service and fast delivery.,positive
5,"Everything was perfect, thank you!",positive
6,"The event was okay, nothing special.",neutral
7,It works as expected.,neutral
8,"Not bad, just average overall.",neutral
9,"It's fine, but I’ve seen better.",neutral
10,Delivery was on time.,neutral
11,I hate this app.,negative
12,"Terrible experience, never again.",negative
13,Worst purchase I’ve ever made.,negative
14,Very disappointed with the service.,negative
15,It kept crashing and wasting my time.,negative
16,Absolutely thrilled with the outcome!,positive
17,Service was mediocre.,neutral
18,The quality exceeded my expectations.,positive
19,The staff was rude and unhelpful.,negative
20,I’ll recommend this to everyone!,positive
